>seed_2	 objvalue: 30753.0000321424	 	 
0.440398543618572	0.0596014614434715	0.440398533588965	0.0596014613489913
0.440398539121771	0.440398539913871	0.0596014613865038	0.0596014595778546
0.096255125853697	0.711234600202166	0.0962551386544606	0.0962551352896765
0.0962551356251497	0.711234593579575	0.0962551356998473	0.0962551350954277
0.0431645331089503	0.318945157022631	0.318945154712954	0.318945155155466
0.318945156344538	0.318945156056968	0.318945154684541	0.0431645329139531
0.0962551385329253	0.0962551130592366	0.0962551286429144	0.711234619764924
0.0962551287740171	0.711234610513369	0.0962551279275491	0.0962551327850652
>Seed_1	 objvalue: 30993.5000046481	 	 
0.440398539119822	0.0596014610233516	0.440398538834671	0.0596014610221553
0.440398540051332	0.440398540102838	0.0596014609641314	0.0596014588816982
0.0962551350991081	0.711234594128974	0.0962551355320471	0.0962551352398711
0.0962551352383953	0.71123459424101	0.0962551352548019	0.0962551352657925
0.043164532976771	0.318945155733006	0.318945155637342	0.318945155652881
0.44039854003646	0.44039854001706	0.059601461308205	0.0596014586382752
0.0962551353937142	0.0962551341478647	0.0962551353544612	0.71123459510396
0.0962551442358623	0.711234660849222	0.0962550506572776	0.0962551442576382
